wine_fest_name,vivino_name,winery,rating,num_ratings,match_confidence
Casillero del Diablo Pinot Grigio,Pinot Grigio (Reserva),Casillero del Diablo,3.4,4676,0.868421052631579
Casillero del Diablo Reserva Especial,Reserva Especial Cabernet Sauvignon,Casillero del Diablo,3.7,245,0.7956989247311828
Diablo Dark,Dark Red,Diablo,4,4565,0.8461538461538461
Marques de Casa Concha Carmenere,Carmenère,Marques de Casa Concha,4,22948,0.96875
Cono Sur Bicicleta Sauvignon Blanc,Bicicleta Sauvignon Blanc,Cono Sur,3.4,2924,1.0
Cono Sur Bicicleta Pinot Noir Rosé,Bicicleta Pinot Noir Rosé,Cono Sur,3.4,824,1.0
Cono Sur Bicicleta Red Blend,Bicicleta Red Blend,Cono Sur,3.3,16,1.0
Cono Sur Single Vineyard Pinot Noir,Viento Mar Block No. 21 Single Vineyard Pinot Noir,Cono Sur,3.7,2052,0.7446808510638298
Twilight of the Adelaide Hills Chardonnay,,,0.0,0,0.0
Fairytale of the Barossa Grenache Rosé,Fairytale,Acheon,3.9,7,0.3333333333333333
Pride of the Fleurieu Peninsula Cabernet Sauvignon,Pride Of The South,Eagle Springs,4.7,9,0.3170731707317073
Lion's Tooth of McLaren Vale Shiraz Riesling,Lion's Tooth Shiraz - Riesling,Dandelion Vineyards,3.9,836,0.5957446808510638
De Bortoli Rosé,Rosé,De Bortoli,3.4,19,1.0
De Bortoli Woodfired Sparkling Shiraz,Woodfired Sparkling Shiraz,De Bortoli,3.3,15,1.0
De Bortoli Woodfired Heathcote Shiraz,Woodfired Heathcote Shiraz,De Bortoli,3.6,767,1.0
De Bortoli Down The Lane Shiraz Tempranillo,Down the Lane Shiraz - Tempranillo,De Bortoli,3.3,295,0.9545454545454546
Noble Vines 515 Dry Rosé,515 Rosé,Noble Vines,3.4,462,0.9090909090909091
Noble Vines 337 Cabernet Sauvignon,337 Cabernet Sauvignon,Noble Vines,3.7,20433,1.0
Gnarly Head 1924 Double Black Limited Edition Red Blend,1924 Double Black Red Blend (Limited Edition),Gnarly Head,3.8,6256,0.8035714285714286
Three Finger Jack Old Vine Zinfandel,Three Finger Jack Cabernet Sauvignon,Delicato,4.1,198,0.5925925925925926
Daringa Mead,McLaren Valle Mead,Daringa,4.1,16,0.631578947368421
Lucien Arkas Idol Ugni Blanc / Chardonnay,İdol Ugni Blanc - Chardonnay,La Wines - Lucien Arkas Bağları,3.3,215,0.7722772277227723
Lucien Arkas Idol Cabernet Sauvignon / Merlot,İdol Cabernet Sauvignon - Merlot,La Wines - Lucien Arkas Bağları,3.2,730,0.7889908256880734
Lucien Arkas Antre Okuzgozu Bogazkere,Antre Öküzgözü - Boğazkere,La Wines - Lucien Arkas Bağları,3.5,230,0.6736842105263158
Lucien Arkas La Passito Dessert,La Passito,La Wines - Lucien Arkas Bağları,3.6,25,0.6301369863013698
Smoking Loon Moscato,Blue Loon Moscato,Smoking Loon,3.2,153,0.8
Smoking Loon Viognier,Viognier,Smoking Loon,3.5,337,1.0
The Crusher Cabernet Sauvignon,Cabernet Sauvignon,The Crusher,3.7,56,1.0
The Crusher Petite Sirah,Petite Sirah,The Crusher,3.8,858,1.0
Dona Paula Rose of Malbec,Rosé of Malbec,Doña Paula,3.3,86,0.92
